run,method,ppc,flip_coef,r,v_theta_sim
rankine_pic_ppc2_t4,pic,2,,0.016999999999999998,0.012856209934870907
rankine_pic_ppc2_t4,pic,2,,0.02833333333333333,0.030414580463736282
rankine_pic_ppc2_t4,pic,2,,0.03966666666666666,0.04137216375202799
rankine_pic_ppc2_t4,pic,2,,0.051,0.05161920029372778
rankine_pic_ppc2_t4,pic,2,,0.062333333333333324,0.058414111335827267
rankine_pic_ppc2_t4,pic,2,,0.07366666666666666,0.07335457363448358
rankine_pic_ppc2_t4,pic,2,,0.08499999999999999,0.08955341907592411
rankine_pic_ppc2_t4,pic,2,,0.09633333333333333,0.09714638561614064
rankine_pic_ppc2_t4,pic,2,,0.10766666666666666,0.10781339773116712
rankine_pic_ppc2_t4,pic,2,,0.119,0.11644577661760319
rankine_pic_ppc2_t4,pic,2,,0.13033333333333333,0.12969759363314404
rankine_pic_ppc2_t4,pic,2,,0.14166666666666666,0.1399015855403104
rankine_pic_ppc2_t4,pic,2,,0.15299999999999997,0.1533861479679265
rankine_pic_ppc2_t4,pic,2,,0.16433333333333333,0.16515945050296876
rankine_pic_ppc2_t4,pic,2,,0.17566666666666664,0.1716817602496529
rankine_pic_ppc2_t4,pic,2,,0.187,0.18816147100081493
rankine_pic_ppc2_t4,pic,2,,0.1983333333333333,0.19934742981090417
rankine_pic_ppc2_t4,pic,2,,0.20966666666666667,0.21112195624878735
rankine_pic_ppc2_t4,pic,2,,0.22099999999999997,0.21815082951227546
rankine_pic_ppc2_t4,pic,2,,0.23233333333333334,0.23073988824720745
rankine_pic_ppc2_t4,pic,2,,0.24366666666666664,0.24301007152216
rankine_pic_ppc2_t4,pic,2,,0.255,0.2541654355400803
rankine_pic_ppc2_t4,pic,2,,0.2663333333333333,0.2675260763186393
rankine_pic_ppc2_t4,pic,2,,0.2776666666666666,0.27724465884300503
rankine_pic_ppc2_t4,pic,2,,0.289,0.2887131570184308
rankine_pic_ppc2_t4,pic,2,,0.30033333333333334,0.29934393541538207
rankine_pic_ppc2_t4,pic,2,,0.31166666666666665,0.31020734352634133
rankine_pic_ppc2_t4,pic,2,,0.32299999999999995,0.3211014599498948
rankine_pic_ppc2_t4,pic,2,,0.3343333333333333,0.3325330139289343
rankine_pic_ppc2_t4,pic,2,,0.3456666666666667,0.3451791346589336
rankine_pic_ppc2_t4,pic,2,,0.357,0.3553225540977073
rankine_pic_ppc2_t4,pic,2,,0.3683333333333333,0.3681859337099127
rankine_pic_ppc2_t4,pic,2,,0.3796666666666666,0.37794200754874
rankine_pic_ppc2_t4,pic,2,,0.39099999999999996,0.3889623593985627
rankine_pic_ppc2_t4,pic,2,,0.4023333333333333,0.39934571399615304
rankine_pic_ppc2_t4,pic,2,,0.4136666666666666,0.4106585948611779
rankine_pic_ppc2_t4,pic,2,,0.42499999999999993,0.4237552977757948
rankine_pic_ppc2_t4,pic,2,,0.4363333333333333,0.4326247055339568
rankine_pic_ppc2_t4,pic,2,,0.44766666666666666,0.445266980175347
rankine_pic_ppc2_t4,pic,2,,0.45899999999999996,0.4561690376174556
rankine_pic_ppc2_t4,pic,2,,0.47033333333333327,0.4671060039621651
rankine_pic_ppc2_t4,pic,2,,0.48166666666666663,0.4779917233468777
rankine_pic_ppc2_t4,pic,2,,0.493,0.48905833359757034
rankine_pic_ppc2_t4,pic,2,,0.5043333333333333,0.5005903773929667
rankine_pic_ppc2_t4,pic,2,,0.5156666666666667,0.5088552815363337
rankine_pic_ppc2_t4,pic,2,,0.5269999999999999,0.5220393168996997
rankine_pic_ppc2_t4,pic,2,,0.5383333333333333,0.5323948382087478
rankine_pic_ppc2_t4,pic,2,,0.5496666666666665,0.543825809964975
rankine_pic_ppc2_t4,pic,2,,0.5609999999999999,0.5539177527280075
rankine_pic_ppc2_t4,pic,2,,0.5723333333333334,0.5643015950669501
rankine_pic_ppc2_t4,pic,2,,0.5836666666666666,0.5755041993689046
rankine_pic_ppc2_t4,pic,2,,0.595,0.5844222746830582
rankine_pic_ppc2_t4,pic,2,,0.6063333333333333,0.5964035007939625
rankine_pic_ppc2_t4,pic,2,,0.6176666666666666,0.6048974508440567
rankine_pic_ppc2_t4,pic,2,,0.629,0.6160095328184
rankine_pic_ppc2_t4,pic,2,,0.6403333333333332,0.6262833127916057
rankine_pic_ppc2_t4,pic,2,,0.6516666666666666,0.6360482994282546
rankine_pic_ppc2_t4,pic,2,,0.663,0.647277295900364
rankine_pic_ppc2_t4,pic,2,,0.6743333333333332,0.6564095899961251
rankine_pic_ppc2_t4,pic,2,,0.6856666666666666,0.6672599194154206
rankine_pic_ppc2_t4,pic,2,,0.697,0.676562311306655
rankine_pic_ppc2_t4,pic,2,,0.7083333333333333,0.687259037288805
rankine_pic_ppc2_t4,pic,2,,0.7196666666666667,0.6966039873436477
rankine_pic_ppc2_t4,pic,2,,0.7309999999999999,0.7052994016811669
rankine_pic_ppc2_t4,pic,2,,0.7423333333333333,0.7152873046916383
rankine_pic_ppc2_t4,pic,2,,0.7536666666666666,0.7232507065762079
rankine_pic_ppc2_t4,pic,2,,0.7649999999999999,0.7334371559706891
rankine_pic_ppc2_t4,pic,2,,0.7763333333333333,0.7414821948453406
rankine_pic_ppc2_t4,pic,2,,0.7876666666666665,0.751309586551431
rankine_pic_ppc2_t4,pic,2,,0.7989999999999999,0.7594536641132711
rankine_pic_ppc2_t4,pic,2,,0.8103333333333333,0.7676783684757543
rankine_pic_ppc2_t4,pic,2,,0.8216666666666665,0.7764247133496724
rankine_pic_ppc2_t4,pic,2,,0.833,0.782596711489436
rankine_pic_ppc2_t4,pic,2,,0.8443333333333333,0.7924758673596966
rankine_pic_ppc2_t4,pic,2,,0.8556666666666666,0.7965466785457106
rankine_pic_ppc2_t4,pic,2,,0.867,0.8065389116768599
rankine_pic_ppc2_t4,pic,2,,0.8783333333333332,0.8130605144073325
rankine_pic_ppc2_t4,pic,2,,0.8896666666666666,0.8195996557502545
rankine_pic_ppc2_t4,pic,2,,0.901,0.8268698757609805
rankine_pic_ppc2_t4,pic,2,,0.9123333333333332,0.8313511308727981
rankine_pic_ppc2_t4,pic,2,,0.9236666666666666,0.8397042260645069
rankine_pic_ppc2_t4,pic,2,,0.9349999999999998,0.8431186075527859
rankine_pic_ppc2_t4,pic,2,,0.9463333333333332,0.8500818088509364
rankine_pic_ppc2_t4,pic,2,,0.9576666666666667,0.8542375830470177
rankine_pic_ppc2_t4,pic,2,,0.9689999999999999,0.8587398694205265
rankine_pic_ppc2_t4,pic,2,,0.9803333333333333,0.8643969268545295
rankine_pic_ppc2_t4,pic,2,,0.9916666666666666,0.866923987287426
rankine_pic_ppc2_t4,pic,2,,1.003,0.8730261266560957
rankine_pic_ppc2_t4,pic,2,,1.0143333333333333,0.8731021252818533
rankine_pic_ppc2_t4,pic,2,,1.0256666666666665,0.87662271478701
rankine_pic_ppc2_t4,pic,2,,1.037,0.8795622693429207
rankine_pic_ppc2_t4,pic,2,,1.0483333333333333,0.8809168444544433
rankine_pic_ppc2_t4,pic,2,,1.0596666666666665,0.8839529298438579
rankine_pic_ppc2_t4,pic,2,,1.071,0.8825276447833613
rankine_pic_ppc2_t4,pic,2,,1.0823333333333331,0.8857132079832255
rankine_pic_ppc2_t4,pic,2,,1.0936666666666666,0.8834689432426244
rankine_pic_ppc2_t4,pic,2,,1.105,0.8845535677381869
rankine_pic_ppc2_t4,pic,2,,1.1163333333333332,0.8824589865025422
rankine_pic_ppc2_t4,pic,2,,1.1276666666666666,0.8811646348794574
rankine_pic_ppc2_t4,pic,2,,1.1389999999999998,0.8794814723627854
rankine_pic_ppc2_t4,pic,2,,1.1503333333333332,0.8761841146408763
rankine_pic_ppc2_t4,pic,2,,1.1616666666666666,0.8753501223492257
rankine_pic_ppc2_t4,pic,2,,1.173,0.8687673089361363
rankine_pic_ppc2_t4,pic,2,,1.1843333333333332,0.8676797162618629
rankine_pic_ppc2_t4,pic,2,,1.1956666666666664,0.8593908777776773
rankine_pic_ppc2_t4,pic,2,,1.2069999999999999,0.8551414352791287
rankine_pic_ppc2_t4,pic,2,,1.2183333333333333,0.8500609190708728
rankine_pic_ppc2_t4,pic,2,,1.2296666666666667,0.8406013035872912
rankine_pic_ppc2_t4,pic,2,,1.2409999999999999,0.8360012560806651
rankine_pic_ppc2_t4,pic,2,,1.2523333333333333,0.8247301353310809
rankine_pic_ppc2_t4,pic,2,,1.2636666666666665,0.8209483676439299
rankine_pic_ppc2_t4,pic,2,,1.275,0.8072735644626674
rankine_pic_ppc2_t4,pic,2,,1.2863333333333333,0.7975912641388443
rankine_pic_ppc2_t4,pic,2,,1.2976666666666665,0.7887111022698696
rankine_pic_ppc2_t4,pic,2,,1.309,0.7745368301020574
rankine_pic_ppc2_t4,pic,2,,1.3203333333333331,0.7672487205908912
rankine_pic_ppc2_t4,pic,2,,1.3316666666666666,0.7514974379714179
rankine_pic_ppc2_t4,pic,2,,1.343,0.7407334337857725
rankine_pic_ppc2_t4,pic,2,,1.3543333333333332,0.7233485036751228
rankine_pic_ppc2_t4,pic,2,,1.3656666666666666,0.7100284929806874
rankine_pic_ppc2_t4,pic,2,,1.3769999999999998,0.6963002786034704
rankine_pic_ppc2_t4,pic,2,,1.3883333333333332,0.6784500480927789
rankine_pic_ppc2_t4,pic,2,,1.3996666666666666,0.6633974191243607
rankine_pic_ppc2_t4,pic,2,,1.411,0.6433029721598692
rankine_pic_ppc2_t4,pic,2,,1.4223333333333332,0.6302282881186437
rankine_pic_ppc2_t4,pic,2,,1.4336666666666664,0.609391247129282
rankine_pic_ppc2_t4,pic,2,,1.4449999999999998,0.5907779907885551
rankine_pic_ppc2_t4,pic,2,,1.4563333333333333,0.5701060914046366
rankine_pic_ppc2_t4,pic,2,,1.4676666666666667,0.5490341819172264
rankine_pic_ppc2_t4,pic,2,,1.4789999999999999,0.530513278834751
rankine_pic_ppc2_t4,pic,2,,1.490333333333333,0.5074587474492106
rankine_pic_ppc2_t4,pic,2,,1.5016666666666665,0.4854255563048706
rankine_pic_ppc2_t4,pic,2,,1.513,0.46352150275322657
rankine_pic_ppc2_t4,pic,2,,1.5243333333333333,0.43825044615958586
rankine_pic_ppc2_t4,pic,2,,1.5356666666666665,0.42284102001939794
rankine_pic_ppc2_t4,pic,2,,1.547,0.39463289249719186
rankine_pic_ppc2_t4,pic,2,,1.5583333333333331,0.3681301218832118
rankine_pic_ppc2_t4,pic,2,,1.5696666666666665,0.3477838981614788
rankine_pic_ppc2_t4,pic,2,,1.581,0.3203376671289652
rankine_pic_ppc2_t4,pic,2,,1.5923333333333332,0.30278064130161536
